"","EIN","NAME.x","NAME.y","ICO","STREET","CITY","STATE","ZIP","GROUP","SUBSECTION","AFFILIATION","CLASSIFICATION","RULING","DEDUCTIBILITY","FOUNDATION","ACTIVITY","ORGANIZATION","STATUS","TAX_PERIOD","ASSET_CD","INCOME_CD","FILING_REQ_CD","PF_FILING_REQ_CD","ACCT_PD","ASSET_AMT","INCOME_AMT","REVENUE_AMT","NTEE_CD","SORT_NAME"
"1","161472177","1891 FREDONIA OPERA HOUSE","1891 FREDONIA OPERA HOUSE","","PO BOX 384","FREDONIA","NY","14063-0384",0,3,3,1000,0,1,15,995090119,1,1,201512,4,4,1,0,12,166610,132270,132270,"A610",""
"2","752050292","ABILENE OPERA ASSOCIATION","ABILENE OPERA ASSOCIATION INC","","PO BOX 6611","ABILENE","TX","79608-6611",0,3,3,2000,0,1,16,90000000,1,1,201512,3,6,1,0,12,43856,1134560,83585,"A6A0",""
"3","231352001","ACADEMY OF VOCAL ARTS","ACADEMY OF VOCAL ARTS","","1920 SPRUCE ST","PHILADELPHIA","PA","19103-6613",0,3,3,1000,0,1,11,30040000,1,1,201506,8,7,1,0,6,39727031,6566019,5193985,"A6E0",""
"4","43519499","ACTING SINGERS PROJECT","ACTING SINGERS PROJECT","% DAVID WALTHER","126 NEWBURG ST","ROSLINDALE","MA","02131-3319",0,3,3,2000,0,1,16,0,1,1,201508,1,0,2,0,8,266,0,0,"A68",""
"5","454562793","ALAMO CITY OPERA D.B.A OPERA PICCOLA OF SAN ANTONIO","ALAMO CITY OPERA","% MARK RICHTER","8603 BOTTS ST","SAN ANTONIO","TX","78217-6301",0,3,3,2100,0,1,15,0,1,1,201512,3,4,1,0,12,42508,287286,287286,"A6A","OPERA PICCOLA OF SAN ANTONIO"
"6","752253647","AMARILLO OPERA","AMARILLO OPERA","","PO BOX 447","AMARILLO","TX","79178-0001",0,3,3,1000,0,1,15,90000000,1,1,201508,4,5,1,0,8,279386,917572,892361,"A6A0",""
"7","471769160","AMERICAN FRIENDS OF GARSINGTON OPERA INC","AMERICAN FRIENDS OF GARSINGTON OPERA INC","% CHAPEL & YORK LIMITED","1000 N WEST ST STE 1200","WILMINGTON","DE","19801-1058",0,3,3,1200,0,1,15,0,1,1,201512,3,3,1,0,12,39425,87010,87010,"A6A",""
"8","133219847","AMERICAN FRIENDS OF THE PARIS OPERA AND BALLET","AMERICAN FRIENDS OF THE PARIS OPERA & BALLET","","972 5TH AVE","NEW YORK","NY","10075-0104",0,3,3,1000,0,1,15,90000000,1,1,201512,6,6,1,0,12,1074495,1980839,1480624,"A6AI",""
"9","202990023","AMERICAN LYRIC THEATER CENTER INC","AMERICAN LYRIC THEATER CENTER INC","% LAWRENCE EDELSON PRESIDENT","410 W 42ND ST","NEW YORK","NY","10036-6809",0,3,3,2000,0,1,15,0,1,1,201512,3,4,1,0,12,83680,202395,202395,"",""
"10","133818345","AMERICAN OPERA MUSICAL THEATER CO INC","AMERICAN OPERA MUSICAL THEATER CO INC","% DIANA CORTO","529 W 29TH ST APT 8M","NEW YORK","NY","10001-1396",0,3,3,2000,0,1,15,90089000,1,1,201503,4,1,2,0,3,387483,146,146,"A6A0",""
