NAME,EIN,CITY,STATE
1891 FREDONIA OPERA HOUSE,161472177,FREDONIA,NY
ABILENE OPERA ASSOCIATION,752050292,ABILENE,TX
ACADEMY OF VOCAL ARTS,231352001,PHILADELPHIA,PA
ACTING SINGERS PROJECT,43519499,ROSLINDALE,MA
ALAMO CITY OPERA D.B.A OPERA PICCOLA OF SAN ANTONIO,454562793,SAN ANTONIO,TX
AMARILLO OPERA,752253647,AMARILLO,TX
AMERICAN FRIENDS OF GARSINGTON OPERA INC,471769160,WILMINGTON,DE
AMERICAN FRIENDS OF THE PARIS OPERA AND BALLET,133219847,NEW YORK,NY
AMERICAN LYRIC THEATER CENTER INC,202990023,NEW YORK,NY
AMERICAN OPERA COMPANY,,,
AMERICAN OPERA MUSICAL THEATER CO INC,133818345,NEW YORK,NY
AMERICAN OPERA PROJECTS INC,133081486,BROOKLYN,NY
AMERICAN OPERA SOCIETY OF CHICAGO,366057235,WILLOWBROOK,IL
AMERICAN SINGERS OPERA PROJECT INC,133840596,PFAFFTOWN,NC
AMICI OPERA COMPANY,,,"NJ,PA"
AMIGOS DE LA ZARZUELA INC,112830057,NEW HYDE PARK,NY
AMORE OPERA INC,270940187,NEW YORK,NY
ANCHORAGE OPERA COMPANY,510175124,ANCHORAGE,AK
ANCHORAGE OPERA FOUNDATION,920175714,ANCHORAGE,AK
ANCHORAGE OPERA GUILD,920148120,ANCHORAGE,AK
ANDIAMO,920166540,JUNEAU,AK
ANNAPOLIS OPERA INCORPORATED,237321514,ANNAPOLIS,MD
ARBOR OPERA THEATER,364314792,ANN ARBOR,MI
ARDEA ARTS INC / FAMILY OPERA INITIATIVE,204937547,NEW YORK,NY
ARIZONA OPERA COMPANY,237169261,PHOENIX,AZ
ART OF CANTONESE OPERA ASSOCIATION INC,201327526,NEW YORK,NY
ASH LAWN OPERA,30500788,CHARLOTTESVLE,VA
ASHEVILLE LYRIC OPERA,562167677,ASHEVILLE,NC
ASPEN MUSIC FESTIVAL AND SCHOOL,,ASPEN,CO
AUSTIN LYRIC OPERA,742390496,AUSTIN,TX
AUSTIN LYRIC OPERA ENDOWMENT FUND,742744864,AUSTIN,TX
"BALTIMORE CONCERT OPERA, INC",264201545,BALTIMORE,MD
BARE OPERA,813311094,BROOKLYN,NY
BARRE OPERA HOUSE INC,30270440,BARRE,VT
BAUM OPERA HOUSE ASSOCIATION,311414324,MIAMISBURG,OH
"BAYVIEW OPERA HOUSE, INC.",943136172,SAN FRANCISCO,CA
