NAME,EIN,CITY,STATE
A LITTLE OPERA AMONG FRIENDS INC,320159343,HOPKINSVILLE,KY
AFTER DINNER OPERA COMPANY INC,131935875,NEW YORK,NY
AKRON LYRIC OPERA THEATRE,311550215,AKRON,OH
ALPINE ORCHESTRA INCORPORATED,841191713,BUENA VISTA,CO
AMERICAN CHAMBER OPERA COMPANY INC,133282274,NEW YORK,NY
AMERICAN NATIONAL OPERA INC,900801240,SOUTH ORANGE,NJ
ANSON OPERA HOUSE INC,753128447,HAWLEY,TX
ART OF OPERA A FOUNDATION,562459978,WICHITA,KS
ASCANIOS PURSE,810589153,DENVER,CO
ATLANTIC CITY OPERA THEATER,813999563,EXTON,PA
BALTIMORE OPERA THEATRE INC,264684179,COCKEYSVILLE,MD
BARE OPERA,813311094,BROOKLYN,NY
BAY AREA BEJING OPERA ASSOCIATION,271968862,SAN FRANCISCO,CA
BAY AREA OPERA COLLABORATIVE INC,473028129,SAN JOSE,CA
BEL CANTO SOCIETY INC,133266551,KEY COLONY BEACH,FL
BELLINI OPERA THEATRE OF MICHIGAN,813382318,LINCOLN PARK,MI
BELLISSIMA OPERA,611636973,OAK PARK,IL
BEMIDJI CHORALE INC,383821347,BEMIDJI,MN
BLUEBONNET LYRIC OPERA CORPORATION,811363586,DENTON,TX
BLUEGRASS OPERA,263016871,LEXINGTON,KY
BOSTON BEL CANTO OPERA,43284341,BOSTON,MA
BOULDER OPERA,462223000,BOULDER,CO
BRAVA OPERA THEATER,473126062,MEDFORD,OR
CAMP HILL LIGHT OPERA EXPERIENCE - CHLOE,461043688,MECHANICSBURG,PA
CANNON VALLEY YOUTH ORCHESTRA,411929435,NORTHFIELD,MN
CANTON COMIC OPERA COMPANY INC,810571607,CANTON,OH
CASCADIA CONCERT OPERA,271613939,EUGENE,OR
CENTER CITY OPERA COMPANY,462197830,CENTER CITY,MN
CHATHAM OPERA INC,203326828,CHATHAM,NJ
CHESAPEAKE CHAMBER OPERA INC,271697255,ORO VALLEY,AZ
CHINESE OPERA R AND D ASSOCIATION,911580337,BELLEVUE,WA
CHINESE OPERA SOCIETY OF SOUTHERN CALIFORNIA,463713838,SAN GABRIEL,CA
CINCINNATI CHAMBER OPERA INC,463540951,OKLAHOMA CITY,OK
CLEVELAND OPERA THEATER,208208151,CLEAVELAND,OH
COMIC OPERA GUILD,237345966,ANN ARBOR,MI
COMMUNITY LIGHT OPERA AND THEATRE ASSOCIATION,956196421,RIDGECREST,CA
CONCORD LIGHT OPERA COMPANY,472459618,BOW,NH
CORO LIRICO,61649606,MORRISTOWN,NJ
DC BEAUTY OF BEIJING OPERA LTD,465221737,NORTH POTOMAC,MD
DESTEFANO PRESENTS INC,133803651,NEW YORK,NY
DRAGONLORE CHINESE OPERA FOUNDATION,151743608,MONTEREY PARK,CA
DRAMATIC CROSSROADS,463203019,EAST PEORIA,IL
EMPIRE OPERA INC,770668548,NEW YORK,NY
FLOATING OPERA COMPANY,474324060,BAYSIDE,WI
FLORIDA LYRIC OPERA ASSOCIATION INC,591836537,TAMPA,FL
FERMONT OPERA INC,223954352,SAN CARLOS,CA
FRIENDS OF OSU OPERA,931080886,CORVALLIS,OR
FRIENDS OF THE OPERA,382958683,GRAND RAPIDS,MI
GARDEN STATE OPERA,475324014,GENEVA,NY
GILBERT AND SULLIVAN OF CHESTER COUNTY,232527435,WEST CHESTER,PA
GRACE CITY OPERA THEATRE,320482871,FARMINGTON,MI
GREAT LAKES LIGHT OPERA,472563335,CLEVELAND HEIGHTS,OH
GREAT LOS ANGELES CHINESE OPERA AMATEUR SOCIETY,680626679,ARCADIA,CA
GUERILLA OPERA INC,262068879,BOSTON,MA
GUILDS OF THE SANTA FE OPERA INC,311566849,TAOS,NM
GUILDS OF THE SANTA FE OPERA INC,311566860,LOS ALAMOS,NM
GUILDS OF THE SANTA FE OPERA INC,311566863,ALBUQUERQUE,NM
GUILDS OF THE SANTA FE OPERA INC,311566868,SANTA CRUZ,NM
GULF COAST OPERA THEARE INC,640625779,BILOXI,MS
HARRISBURG CIVIC OPERA ASSOCIATION,237173902,LEMOYNE,PA
HEARTLAND OPERA THEATRE,431844714,JOPLIN,MO
HILLHOUSE OPERA COMPANY,263218851,EETHEL,CT
HOLY FAMILY CANTONESE OPERA INC,462979674,ARCADIA,CA
HUB OPERA ENSEMBLE LIMITED,452233382,HAGERSTOWN,MD
HWA SHENG CHINESE OPERA CLUB,912073872,LAKE STEVENS,WA
ILLUMINATION OPERA INC,261577184,CHELMSFORD,MA
INDEPENDENT OPERA COMPANY,461846033,NORTH HOLLYWOOD,CA
INTERACTIVE OPERA INC,61755249,LOMBARD,IL
INTERNATIONAL BRAZILIAN OPERA COMPANY,471743724,NEW YORK,NY
INTERNATIONAL OPERA INSTITUTE,273442010,INDIO,CA
INTIMATE OPERA INC,364477750,CHICAGO,IL
JOYOUS CHINESE OPERA TROUPE INC,452842862,JACKSON HEIGHTS,NY
KYRENIA OPERA INC,205575643,ASTORIA,NY
LAWRENCE OPERA THEATRE INC,471486471,LAWRENCE,KS
LONE STAR LYRIC THEATER FESTIVAL,208771512,NEW YORK,NY
LONG ISLAND OPERA CO INC,116036397,SOUTHOLD,NY
LOS ANGELES METROPOLITAN OPERA,271948205,PACIFIC PALISADES,CA
LOUDOUN LYRIC OPERA COMPANY,204425634,LEESBURG,VA
LYRIC OPERA OF WACO,742853460,WACO,TX
MANCOS OPERA HOUSE ARCHITECTURAL RESTORATION AND PRESERVATION SOCIETY,204135949,MANCOS,CO
MARBLE CITY OPERA COMPANY,464265972,KNOXVILLE,TN
MARTHA CARDONA OPERA,472981461,BROOKLYN,NY
MERCURY OPERA OF ROCHESTER INC,352240395,ROCHESTER,NY
METRO LYRIC OPERA AND GUILD MONMOUTH OPERA FESTIVAL AND GUILD,226063134,JACKSON HEIGHTS,NJ
METROPLEX OPERA COMPANY INC,751899729,DALLAS,TX
MIAMI SALON GROUP INC,592764188,AVENTURA,FL
MIDWEST LYRIC OPERA COMPANY,431881282,SAINT LOUIS,MO
MINNESOTA CONCERT OPERA,453669692,MINNEAPOLIS,MN
MODERN SYMPHONY ORCHESTA INC,473415118,FLUSHING,NY
MONTEREY OPERA ASSOCIATION INC,770176891,MONTEREY,CA
MOSTLY OPERA,260006536,SCRANTON,PA
MUDDY RIVER OPERA CO,371257864,CANTON,MO
N Y BARD WO ASSOCIATION INC,134167923,NEW YORK,NY
NEW AMSTERDAM OPERA INC,813656705,NEW YORK,NY
NEW CASTLE LYRIC OPERA COMPANY,10976983,NEW CASTLE,PA
NEW CENTURY OPERA INC,264074037,TARPON SPRINGS,FL
NORTHERN OHIO OPERA LEAGUE FUND,870792632,SHAKER HEIGHTS,OH
NORTHWEST OPERA IN SCHOOLS ETCETERA,911249425,SEATTLE,WA
OCCHIATA PRODUCTIONS,262152984,MONTEREY,CA
OJAI YOUTH OPERA COMPANY,471279185,OJAI,CA
ONYX OPERA INC,274089504,NORTH MIAMI,FL
OPERA BOSTON INC,42756974,DOVER,MA
OPERA CALIFORNIA,954512214,LOS ANGELES,CA
OPERA CLEVELAND,341184816,CLEVELAND,OH
OPERA CREATIONS,454913985,ASHEVILLE,NC
OPERA EXPERIENCE SOUTHEAST,455057552,ROCK HILL,SC
OPERA GUILD OF CHARLOTTE INC,560812172,CHARLOTTE,NC
